KPI_ID,KPI_NAME,VALUE,PERIOD_START,PERIOD_END,REGION
MHS131,People Treated,2,01/01/2026,31/03/2026,NHS SOMERSET INTEGRATED CARE BOARD
MHS132,RTT Performance Percentage,70,01/01/2026,31/03/2026,NHS SOMERSET INTEGRATED CARE BOARD
MHS125,People Entering RTT Pathway,52,01/01/2026,31/03/2026,NHS NOTTINGHAM AND NOTTINGHAMSHIRE INTEGRATED CARE BOARD
MHS126,People Waiting,226,01/01/2026,31/03/2026,NHS NOTTINGHAM AND NOTTINGHAMSHIRE INTEGRATED CARE BOARD
MHS131,People Treated,17,01/01/2026,31/03/2026,NHS NOTTINGHAM AND NOTTINGHAMSHIRE INTEGRATED CARE BOARD
MHS132,RTT Performance Percentage,141,01/01/2026,31/03/2026,NHS NOTTINGHAM AND NOTTINGHAMSHIRE INTEGRATED CARE BOARD
MHS125,People Entering RTT Pathway,43,01/01/2026,31/03/2026,NHS CORNWALL AND THE ISLES OF SCILLY INTEGRATED CARE BOARD
MHS126,People Waiting,170,01/01/2026,31/03/2026,NHS CORNWALL AND THE ISLES OF SCILLY INTEGRATED CARE BOARD
MHS131,People Treated,12,01/01/2026,31/03/2026,NHS CORNWALL AND THE ISLES OF SCILLY INTEGRATED CARE BOARD
MHS132,RTT Performance Percentage,714,01/01/2026,31/03/2026,NHS CORNWALL AND THE ISLES OF SCILLY INTEGRATED CARE BOARD
MHS125,People Entering RTT Pathway,28,01/01/2026,31/03/2026,"NHS BUCKINGHAMSHIRE, OXFORDSHIRE AND BERKSHIRE WEST INTEGRATED CARE BOARD"
MHS126,People Waiting,199,01/01/2026,31/03/2026,"NHS BUCKINGHAMSHIRE, OXFORDSHIRE AND BERKSHIRE WEST INTEGRATED CARE BOARD"
MHS131,People Treated,14,01/01/2026,31/03/2026,"NHS BUCKINGHAMSHIRE, OXFORDSHIRE AND BERKSHIRE WEST INTEGRATED CARE BOARD"
MHS132,RTT Performance Percentage,692,01/01/2026,31/03/2026,"NHS BUCKINGHAMSHIRE, OXFORDSHIRE AND BERKSHIRE WEST INTEGRATED CARE BOARD"
MHS125,People Entering RTT Pathway,27,01/01/2026,31/03/2026,NHS BLACK COUNTRY INTEGRATED CARE BOARD
MHS126,People Waiting,108,01/01/2026,31/03/2026,NHS BLACK COUNTRY INTEGRATED CARE BOARD
MHS131,People Treated,33,01/01/2026,31/03/2026,NHS BLACK COUNTRY INTEGRATED CARE BOARD
MHS132,RTT Performance Percentage,224,01/01/2026,31/03/2026,NHS BLACK COUNTRY INTEGRATED CARE BOARD
MHS125,People Entering RTT Pathway,29,01/01/2026,31/03/2026,NHS CAMBRIDGESHIRE AND PETERBOROUGH INTEGRATED CARE BOARD
MHS126,People Waiting,110,01/01/2026,31/03/2026,NHS CAMBRIDGESHIRE AND PETERBOROUGH INTEGRATED CARE BOARD
MHS131,People Treated,30,01/01/2026,31/03/2026,NHS CAMBRIDGESHIRE AND PETERBOROUGH INTEGRATED CARE BOARD
MHS132,RTT Performance Percentage,267,01/01/2026,31/03/2026,NHS CAMBRIDGESHIRE AND PETERBOROUGH INTEGRATED CARE BOARD
MHS125,People Entering RTT Pathway,40,01/01/2026,31/03/2026,"NHS BRISTOL, NORTH SOMERSET AND SOUTH GLOUCESTERSHIRE INTEGRATED CARE BOARD"
MHS126,People Waiting,121,01/01/2026,31/03/2026,"NHS BRISTOL, NORTH SOMERSET AND SOUTH GLOUCESTERSHIRE INTEGRATED CARE BOARD"
MHS131,People Treated,7,01/01/2026,31/03/2026,"NHS BRISTOL, NORTH SOMERSET AND SOUTH GLOUCESTERSHIRE INTEGRATED CARE BOARD"
MHS132,RTT Performance Percentage,87,01/01/2026,31/03/2026,"NHS BRISTOL, NORTH SOMERSET AND SOUTH GLOUCESTERSHIRE INTEGRATED CARE BOARD"
MHS125,People Entering RTT Pathway,33,01/01/2026,31/03/2026,NHS DORSET INTEGRATED CARE BOARD
MHS126,People Waiting,173,01/01/2026,31/03/2026,NHS DORSET INTEGRATED CARE BOARD
MHS131,People Treated,21,01/01/2026,31/03/2026,NHS DORSET INTEGRATED CARE BOARD
MHS132,RTT Performance Percentage,114,01/01/2026,31/03/2026,NHS DORSET INTEGRATED CARE BOARD
MHS125,People Entering RTT Pathway,35,01/01/2026,31/03/2026,NHS SOUTH WEST LONDON INTEGRATED CARE BOARD
MHS126,People Waiting,162,01/01/2026,31/03/2026,NHS SOUTH WEST LONDON INTEGRATED CARE BOARD
MHS131,People Treated,28,01/01/2026,31/03/2026,NHS SOUTH WEST LONDON INTEGRATED CARE BOARD
MHS132,RTT Performance Percentage,422,01/01/2026,31/03/2026,NHS SOUTH WEST LONDON INTEGRATED CARE BOARD
MHS125,People Entering RTT Pathway,31,01/01/2026,31/03/2026,NHS WEST YORKSHIRE INTEGRATED CARE BOARD
MHS126,People Waiting,147,01/01/2026,31/03/2026,NHS WEST YORKSHIRE INTEGRATED CARE BOARD
MHS131,People Treated,15,01/01/2026,31/03/2026,NHS WEST YORKSHIRE INTEGRATED CARE BOARD
MHS132,RTT Performance Percentage,319,01/01/2026,31/03/2026,NHS WEST YORKSHIRE INTEGRATED CARE BOARD
MHS125,People Entering RTT Pathway,36,01/01/2026,31/03/2026,NHS COVENTRY AND WARWICKSHIRE INTEGRATED CARE BOARD
