date,id,name,y_items,y_actual_cost,x_items,x_actual_cost
2021-05-01,70F,"NHS WEST SUSSEX",6333,24113.12,0,0
2021-05-01,M1J4Y,"NHS BEDFORDSHIRE, LUTON AND MILTON KEYNES",6626,21347.43,0,0
2021-05-01,78H,"NHS NORTHAMPTONSHIRE",6647,18003.61,0,0
2021-05-01,72Q,"NHS SOUTH EAST LONDON",6883,17066.65,0,0
2021-05-01,97R,"NHS EAST SUSSEX",6883,23162.03,0,0
2021-05-01,11N,"NHS CORNWALL AND THE ISLES OF SCILLY",7253,17665.88,0,0
2021-05-01,06H,"NHS CAMBRIDGESHIRE AND PETERBOROUGH",7443,21488.72,0,0
2021-05-01,11J,"NHS DORSET",7494,21235.69,0,0
2021-05-01,99A,"NHS LIVERPOOL",7514,29189.78,0,0
2021-05-01,B2M3M,"NHS COVENTRY AND WARWICKSHIRE",7859,29448.47,0,0
2021-05-01,11M,"NHS GLOUCESTERSHIRE",7902,23477.74,0,0
2021-05-01,A3A8R,"NHS NORTH EAST LONDON",8030,23903.73,0,0
2021-05-01,18C,"NHS HEREFORDSHIRE AND WORCESTERSHIRE",8270,27091.49,0,0
2021-05-01,93C,"NHS NORTH CENTRAL LONDON",8758,23493.02,0,0
2021-05-01,36L,"NHS SOUTH WEST LONDON",8918,20805.51,0,0
2021-05-01,92G,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE",8941,22625.77,0,0
2021-05-01,92A,"NHS SURREY HEARTLANDS",9081,32792.54,0,0
2021-05-01,15C,"NHS BRISTOL, NORTH SOMERSET AND SOUTH GLOUCESTERSHIRE",9433,26682.82,0,0
2021-05-01,71E,"NHS LINCOLNSHIRE",9536,37202.41,0,0
2021-05-01,15E,"NHS BIRMINGHAM AND SOLIHULL",9707,39845.12,0,0
2021-05-01,D2P2L,"NHS BLACK COUNTRY",9930,48571.32,0,0
2021-05-01,15M,"NHS DERBY AND DERBYSHIRE",11583,37558.21,0,0
2021-05-01,W2U3Z,"NHS NORTH WEST LONDON",11740,29562.88,0,0
2021-05-01,D9Y0V,"NHS HAMPSHIRE, SOUTHAMPTON AND ISLE OF WIGHT",12424,49254.32,0,0
2021-05-01,91Q,"NHS KENT AND MEDWAY",13631,47461.74,0,0
2021-05-01,26A,"NHS NORFOLK AND WAVENEY",14483,37948.91,0,0
2021-05-01,15N,"NHS DEVON",14535,41141.28,0,0
2021-06-01,09W,"NHS MEDWAY",0,0,0,0
2021-06-01,D4U1Y,"NHS FRIMLEY",409,1039.12,0,0
2021-06-01,07G,"NHS THURROCK",586,2113.15,0,0
2021-06-01,02Q,"NHS BASSETLAW",1028,3321.7,0,0
2021-06-01,99F,"NHS CASTLE POINT AND ROCHFORD",1034,4874.2,0,0
2021-06-01,02G,"NHS WEST LANCASHIRE",1070,6271.3,0,0
2021-06-01,00V,"NHS BURY",1097,5790.8,0,0
2021-06-01,03H,"NHS NORTH EAST LINCOLNSHIRE",1142,6408.94,0,0
2021-06-01,00N,"NHS SOUTH TYNESIDE",1176,5606.63,0,0
2021-06-01,05D,"NHS EAST STAFFORDSHIRE",1213,4789.15,0,0
2021-06-01,01E,"NHS GREATER PRESTON",1232,8715.03,0,0
2021-06-01,04Y,"NHS CANNOCK CHASE",1275,6716.93,0,0
2021-06-01,03Q,"NHS VALE OF YORK",1282,4764.07,0,0
2021-06-01,00R,"NHS BLACKPOOL",1342,6060.58,0,0
2021-06-01,00X,"NHS CHORLEY AND SOUTH RIBBLE",1410,8399.14,0,0
2021-06-01,03K,"NHS NORTH LINCOLNSHIRE",1451,7098.56,0,0
2021-06-01,01D,"NHS HEYWOOD, MIDDLETON AND ROCHDALE",1465,7997.37,0,0
2021-06-01,99G,"NHS SOUTHEND",1510,4061,0,0
2021-06-01,99E,"NHS BASILDON AND BRENTWOOD",1560,5458.28,0,0
2021-06-01,02T,"NHS CALDERDALE",1572,4786.09,0,0
2021-06-01,02M,"NHS FYLDE AND WYRE",1574,7018.69,0,0
2021-06-01,05V,"NHS STAFFORD AND SURROUNDS",1698,5891.35,0,0
2021-06-01,01V,"NHS SOUTHPORT AND FORMBY",1751,6809.63,0,0
2021-06-01,00T,"NHS BOLTON",1799,10121.32,0,0
2021-06-01,05Q,"NHS SOUTH EAST STAFFORDSHIRE AND SEISDON PENINSULA",1860,10502.9,0,0
2021-06-01,01G,"NHS SALFORD",1866,6910.57,0,0
2021-06-01,99C,"NHS NORTH TYNESIDE",1907,5389.44,0,0
2021-06-01,00Y,"NHS OLDHAM",1935,8720.33,0,0
2021-06-01,10R,"NHS PORTSMOUTH",1947,6491.42,0,0
2021-06-01,07H,"NHS WEST ESSEX",2001,6714.94,0,0
2021-06-01,01H,"NHS NORTH CUMBRIA",2004,6168.8,0,0
2021-06-01,02A,"NHS TRAFFORD",2033,9876.28,0,0
2021-06-01,03L,"NHS ROTHERHAM",2078,9340.5,0,0
2021-06-01,01F,"NHS HALTON",2088,12832.56,0,0
2021-06-01,07K,"NHS WEST SUFFOLK",2150,7020.72,0,0
2021-06-01,02X,"NHS DONCASTER",2203,9912.24,0,0
2021-06-01,00Q,"NHS BLACKBURN WITH DARWEN",2213,8925.26,0,0
2021-06-01,03F,"NHS HULL",2224,10860.81,0,0
2021-06-01,02E,"NHS WARRINGTON",2244,12179.38,0,0
2021-06-01,01J,"NHS KNOWSLEY",2254,11443.56,0,0
2021-06-01,U2G6B,"NHS THAMES VALLEY ICB - U2G6B",2273,9156.44,0,0
2021-06-01,02Y,"NHS EAST RIDING OF YORKSHIRE",2277,9718.32,0,0
2021-06-01,05G,"NHS NORTH STAFFORDSHIRE",2346,9753.8,0,0
2021-06-01,00P,"NHS SUNDERLAND",2414,7154.13,0,0
2021-06-01,01T,"NHS SOUTH SEFTON",2432,11399.12,0,0
2021-06-01,00L,"NHS NORTHUMBERLAND",2553,11180.05,0,0
2021-06-01,15A,"NHS BERKSHIRE WEST",2596,8845.16,0,0
2021-06-01,01A,"NHS EAST LANCASHIRE",2666,20688.4,0,0
2021-06-01,01Y,"NHS TAMESIDE AND GLOSSOP",2791,9434.66,0,0
2021-06-01,01K,"NHS MORECAMBE BAY",2995,10822.48,0,0
2021-06-01,05W,"NHS STOKE ON TRENT",3035,10825.54,0,0
2021-06-01,02P,"NHS BARNSLEY",3073,13561.77,0,0
2021-06-01,02H,"NHS WIGAN BOROUGH",3135,17691.38,0,0
2021-06-01,03W,"NHS EAST LEICESTERSHIRE AND RUTLAND",3166,12566.54,0,0
2021-06-01,14Y,"NHS BUCKINGHAMSHIRE",3215,10658.86,0,0
2021-06-01,03R,"NHS WAKEFIELD",3305,17311.98,0,0
2021-06-01,04C,"NHS LEICESTER CITY",3343,12787.75,0,0
2021-06-01,01W,"NHS STOCKPORT",3353,11656.49,0,0
2021-06-01,06L,"NHS IPSWICH AND EAST SUFFOLK",3681,12212.97,0,0
2021-06-01,06Q,"NHS MID ESSEX",3784,12676.99,0,0
2021-06-01,X2C4Y,"NHS KIRKLEES",3803,14667.84,0,0
2021-06-01,10Q,"NHS OXFORDSHIRE",3858,17155.63,0,0
2021-06-01,06N,"NHS HERTS VALLEYS",3894,12217,0,0
2021-06-01,42D,"NHS NORTH YORKSHIRE",4160,13586.86,0,0
2021-06-01,01X,"NHS ST HELENS",4290,17705.2,0,0
2021-06-01,06K,"NHS EAST AND NORTH HERTFORDSHIRE",4400,13352.41,0,0
2021-06-01,36J,"NHS BRADFORD DISTRICT AND CRAVEN",4415,20418.55,0,0
2021-06-01,04V,"NHS WEST LEICESTERSHIRE",4439,15242.56,0,0
2021-06-01,15F,"NHS LEEDS",4541,18223.02,0,0
2021-06-01,M2L0M,"NHS SHROPSHIRE, TELFORD AND WREKIN",4615,18513.87,0,0
2021-06-01,09D,"NHS BRIGHTON AND HOVE",4722,8935.1,0,0
2021-06-01,12F,"NHS WIRRAL",4770,17309.42,0,0
2021-06-01,84H,"NHS COUNTY DURHAM",4789,17950.54,0,0
2021-06-01,13T,"NHS NEWCASTLE GATESHEAD",4876,17594,0,0
2021-06-01,06T,"NHS NORTH EAST ESSEX",5443,19644.95,0,0
2021-06-01,14L,"NHS MANCHESTER",5832,20044.21,0,0
2021-06-01,03N,"NHS SHEFFIELD",5882,20119.64,0,0
2021-06-01,16C,"NHS TEES VALLEY",5935,24948.82,0,0
2021-06-01,11X,"NHS SOMERSET",6341,19228.53,0,0
2021-06-01,27D,"NHS CHESHIRE",6560,26907.19,0,0
2021-06-01,70F,"NHS WEST SUSSEX",6572,23009.75,0,0
2021-06-01,52R,"NHS NOTTINGHAM AND NOTTINGHAMSHIRE",6659,29127.5,0,0
2021-06-01,M1J4Y,"NHS BEDFORDSHIRE, LUTON AND MILTON KEYNES",6909,22066.35,0,0
2021-06-01,78H,"NHS NORTHAMPTONSHIRE",7035,20527.72,0,0
2021-06-01,97R,"NHS EAST SUSSEX",7277,24811.54,0,0
2021-06-01,72Q,"NHS SOUTH EAST LONDON",7551,21026.21,0,0
2021-06-01,11N,"NHS CORNWALL AND THE ISLES OF SCILLY",7667,17816.08,0,0
2021-06-01,06H,"NHS CAMBRIDGESHIRE AND PETERBOROUGH",7823,24862.03,0,0
2021-06-01,11J,"NHS DORSET",7876,22906.83,0,0
2021-06-01,99A,"NHS LIVERPOOL",8017,31566.05,0,0
2021-06-01,11M,"NHS GLOUCESTERSHIRE",8249,23688.09,0,0
2021-06-01,A3A8R,"NHS NORTH EAST LONDON",8514,26330.06,0,0
2021-06-01,B2M3M,"NHS COVENTRY AND WARWICKSHIRE",8551,34020.1,0,0
2021-06-01,18C,"NHS HEREFORDSHIRE AND WORCESTERSHIRE",8568,29112.62,0,0
2021-06-01,92A,"NHS SURREY HEARTLANDS",9328,32739.5,0,0
2021-06-01,36L,"NHS SOUTH WEST LONDON",9346,23788.29,0,0
2021-06-01,93C,"NHS NORTH CENTRAL LONDON",9368,25835.6,0,0
2021-06-01,92G,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE",9418,25781.41,0,0
2021-06-01,71E,"NHS LINCOLNSHIRE",10124,38482.66,0,0
2021-06-01,15C,"NHS BRISTOL, NORTH SOMERSET AND SOUTH GLOUCESTERSHIRE",10129,29212.86,0,0
2021-06-01,15E,"NHS BIRMINGHAM AND SOLIHULL",10517,41413.56,0,0
2021-06-01,D2P2L,"NHS BLACK COUNTRY",10700,53536.79,0,0
2021-06-01,W2U3Z,"NHS NORTH WEST LONDON",12337,29633.79,0,0
2021-06-01,15M,"NHS DERBY AND DERBYSHIRE",12381,38428.36,0,0
2021-06-01,D9Y0V,"NHS HAMPSHIRE, SOUTHAMPTON AND ISLE OF WIGHT",13098,51584.57,0,0
2021-06-01,91Q,"NHS KENT AND MEDWAY",14450,52909.76,0,0
2021-06-01,26A,"NHS NORFOLK AND WAVENEY",15287,40920.44,0,0
2021-06-01,15N,"NHS DEVON",15373,43695.46,0,0
2021-07-01,09W,"NHS MEDWAY",0,0,0,0
2021-07-01,D4U1Y,"NHS FRIMLEY",408,1342.49,0,0
2021-07-01,07G,"NHS THURROCK",621,2345.59,0,0
2021-07-01,02Q,"NHS BASSETLAW",1042,3170.83,0,0
2021-07-01,02G,"NHS WEST LANCASHIRE",1059,6433.51,0,0
2021-07-01,99F,"NHS CASTLE POINT AND ROCHFORD",1062,7667.97,0,0
2021-07-01,00V,"NHS BURY",1078,7017.23,0,0
2021-07-01,03H,"NHS NORTH EAST LINCOLNSHIRE",1134,6396.65,0,0
2021-07-01,00N,"NHS SOUTH TYNESIDE",1169,5309.95,0,0
2021-07-01,05D,"NHS EAST STAFFORDSHIRE",1210,5552.85,0,0
2021-07-01,04Y,"NHS CANNOCK CHASE",1265,5842.78,0,0
2021-07-01,01E,"NHS GREATER PRESTON",1295,8521.01,0,0
2021-07-01,00R,"NHS BLACKPOOL",1297,6652.73,0,0
2021-07-01,03Q,"NHS VALE OF YORK",1297,6425.78,0,0
2021-07-01,00X,"NHS CHORLEY AND SOUTH RIBBLE",1380,9924.37,0,0
2021-07-01,03K,"NHS NORTH LINCOLNSHIRE",1408,6055.92,0,0
2021-07-01,99G,"NHS SOUTHEND",1433,5285.07,0,0
2021-07-01,01D,"NHS HEYWOOD, MIDDLETON AND ROCHDALE",1447,7060.83,0,0
2021-07-01,02T,"NHS CALDERDALE",1491,5244.41,0,0
2021-07-01,99E,"NHS BASILDON AND BRENTWOOD",1566,5077.42,0,0
2021-07-01,02M,"NHS FYLDE AND WYRE",1585,7157.71,0,0
2021-07-01,05V,"NHS STAFFORD AND SURROUNDS",1656,6464.79,0,0
2021-07-01,01V,"NHS SOUTHPORT AND FORMBY",1796,7081.26,0,0
2021-07-01,05Q,"NHS SOUTH EAST STAFFORDSHIRE AND SEISDON PENINSULA",1812,8295.36,0,0
2021-07-01,00T,"NHS BOLTON",1829,10770.18,0,0
2021-07-01,01G,"NHS SALFORD",1880,7539.44,0,0
