date,id,name,y_items,y_actual_cost,x_items,x_actual_cost
2021-06-01,01Y,"NHS TAMESIDE AND GLOSSOP",33825,108415.17,0,0
2021-06-01,01X,"NHS ST HELENS",34704,112796.91,0,0
2021-06-01,07H,"NHS WEST ESSEX",35045,112929.39,0,0
2021-06-01,00R,"NHS BLACKPOOL",35165,102250.3,0,0
2021-06-01,04C,"NHS LEICESTER CITY",37566,124587.05,0,0
2021-06-01,09D,"NHS BRIGHTON AND HOVE",37964,145795.43,0,0
2021-06-01,03W,"NHS EAST LEICESTERSHIRE AND RUTLAND",38687,141360.36,0,0
2021-06-01,99C,"NHS NORTH TYNESIDE",40794,110685.33,0,0
2021-06-01,00T,"NHS BOLTON",41104,139662.21,0,0
2021-06-01,03L,"NHS ROTHERHAM",41357,125840.32,0,0
2021-06-01,05W,"NHS STOKE ON TRENT",43007,132328.7,0,0
2021-06-01,07K,"NHS WEST SUFFOLK",43578,132821.58,0,0
2021-06-01,02Y,"NHS EAST RIDING OF YORKSHIRE",44045,134740.4,0,0
2021-06-01,01W,"NHS STOCKPORT",45067,149605.49,0,0
2021-06-01,14Y,"NHS BUCKINGHAMSHIRE",46284,188124.17,0,0
2021-06-01,03F,"NHS HULL",46408,121293.94,0,0
2021-06-01,01G,"NHS SALFORD",47262,137424.7,0,0
2021-06-01,01K,"NHS MORECAMBE BAY",47535,156340.41,0,0
2021-06-01,15A,"NHS BERKSHIRE WEST",48317,207045.07,0,0
2021-06-01,01H,"NHS NORTH CUMBRIA",49701,149966.48,0,0
2021-06-01,02H,"NHS WIGAN BOROUGH",49913,176895.97,0,0
2021-06-01,02X,"NHS DONCASTER",50780,147370.34,0,0
2021-06-01,04V,"NHS WEST LEICESTERSHIRE",51405,171395.84,0,0
2021-06-01,02P,"NHS BARNSLEY",51738,137627.49,0,0
2021-06-01,01A,"NHS EAST LANCASHIRE",52134,157461.86,0,0
2021-06-01,06N,"NHS HERTS VALLEYS",53316,186138.52,0,0
2021-06-01,12F,"NHS WIRRAL",54376,180394.93,0,0
2021-06-01,03R,"NHS WAKEFIELD",54585,186403.31,0,0
2021-06-01,X2C4Y,"NHS KIRKLEES",55271,191758.08,0,0
2021-06-01,06Q,"NHS MID ESSEX",55461,169180.52,0,0
2021-06-01,M2L0M,"NHS SHROPSHIRE, TELFORD AND WREKIN",57235,214831.81,0,0
2021-06-01,06T,"NHS NORTH EAST ESSEX",57593,186962.55,0,0
2021-06-01,00L,"NHS NORTHUMBERLAND",57764,169458.29,0,0
2021-06-01,06L,"NHS IPSWICH AND EAST SUFFOLK",60182,193041.92,0,0
2021-06-01,06K,"NHS EAST AND NORTH HERTFORDSHIRE",67957,234826.8,0,0
2021-06-01,00P,"NHS SUNDERLAND",68623,154835.02,0,0
2021-06-01,11X,"NHS SOMERSET",70167,238412.52,0,0
2021-06-01,42D,"NHS NORTH YORKSHIRE",70883,223437.66,0,0
2021-06-01,97R,"NHS EAST SUSSEX",71349,271794.23,0,0
2021-06-01,36J,"NHS BRADFORD DISTRICT AND CRAVEN",74496,242360.46,0,0
2021-06-01,10Q,"NHS OXFORDSHIRE",75629,294402.35,0,0
2021-06-01,99A,"NHS LIVERPOOL",83765,283952.78,0,0
2021-06-01,14L,"NHS MANCHESTER",85131,267603.73,0,0
2021-06-01,11M,"NHS GLOUCESTERSHIRE",87523,287036.35,0,0
2021-06-01,03N,"NHS SHEFFIELD",87579,258823.88,0,0
2021-06-01,11N,"NHS CORNWALL AND THE ISLES OF SCILLY",89469,297466.03,0,0
2021-06-01,M1J4Y,"NHS BEDFORDSHIRE, LUTON AND MILTON KEYNES",89845,299500.45,0,0
2021-06-01,70F,"NHS WEST SUSSEX",94627,388344.66,0,0
2021-06-01,92A,"NHS SURREY HEARTLANDS",96286,439997.3,0,0
2021-06-01,18C,"NHS HEREFORDSHIRE AND WORCESTERSHIRE",97351,346412.78,0,0
2021-06-01,13T,"NHS NEWCASTLE GATESHEAD",97651,252030.9,0,0
2021-06-01,11J,"NHS DORSET",98127,370037.72,0,0
2021-06-01,15F,"NHS LEEDS",98879,334517.96,0,0
2021-06-01,27D,"NHS CHESHIRE",103244,324354.02,0,0
2021-06-01,93C,"NHS NORTH CENTRAL LONDON",107005,402511.74,0,0
2021-06-01,78H,"NHS NORTHAMPTONSHIRE",107447,315735.09,0,0
2021-06-01,15C,"NHS BRISTOL, NORTH SOMERSET AND SOUTH GLOUCESTERSHIRE",110541,393970.12,0,0
2021-06-01,B2M3M,"NHS COVENTRY AND WARWICKSHIRE",114425,390286.25,0,0
2021-06-01,36L,"NHS SOUTH WEST LONDON",115926,415113.64,0,0
2021-06-01,92G,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE",115947,385582.72,0,0
2021-06-01,84H,"NHS COUNTY DURHAM",120353,320444.96,0,0
2021-06-01,06H,"NHS CAMBRIDGESHIRE AND PETERBOROUGH",124026,372196.72,0,0
2021-06-01,15E,"NHS BIRMINGHAM AND SOLIHULL",125572,445998.96,0,0
2021-06-01,72Q,"NHS SOUTH EAST LONDON",127659,482400.73,0,0
2021-06-01,16C,"NHS TEES VALLEY",128761,379199.76,0,0
2021-06-01,52R,"NHS NOTTINGHAM AND NOTTINGHAMSHIRE",132928,457321.22,0,0
2021-06-01,D2P2L,"NHS BLACK COUNTRY",133282,472020.82,0,0
2021-06-01,71E,"NHS LINCOLNSHIRE",136667,419182.22,0,0
2021-06-01,15M,"NHS DERBY AND DERBYSHIRE",139588,482047.04,0,0
2021-06-01,W2U3Z,"NHS NORTH WEST LONDON",142958,494844.87,0,0
2021-06-01,A3A8R,"NHS NORTH EAST LONDON",145941,475185.2,0,0
2021-06-01,15N,"NHS DEVON",169865,599136.15,0,0
2021-06-01,26A,"NHS NORFOLK AND WAVENEY",178210,555603.3,0,0
2021-06-01,91Q,"NHS KENT AND MEDWAY",209421,774931.62,0,0
2021-06-01,D9Y0V,"NHS HAMPSHIRE, SOUTHAMPTON AND ISLE OF WIGHT",211838,888760.83,0,0
2021-07-01,09W,"NHS MEDWAY",0,0,0,0
2021-07-01,D4U1Y,"NHS FRIMLEY",4923,18307.07,0,0
2021-07-01,02G,"NHS WEST LANCASHIRE",14121,40123.61,0,0
2021-07-01,05D,"NHS EAST STAFFORDSHIRE",16539,44889.76,0,0
2021-07-01,04Y,"NHS CANNOCK CHASE",17566,51851.29,0,0
2021-07-01,05V,"NHS STAFFORD AND SURROUNDS",17605,50622.79,0,0
2021-07-01,01V,"NHS SOUTHPORT AND FORMBY",17982,53276.93,0,0
2021-07-01,07G,"NHS THURROCK",18466,49554.51,0,0
2021-07-01,99F,"NHS CASTLE POINT AND ROCHFORD",19153,67483.59,0,0
2021-07-01,01F,"NHS HALTON",19628,56613.43,0,0
2021-07-01,02Q,"NHS BASSETLAW",19835,47784.14,0,0
2021-07-01,99G,"NHS SOUTHEND",21264,68556.44,0,0
2021-07-01,00Q,"NHS BLACKBURN WITH DARWEN",21992,56937.52,0,0
2021-07-01,00X,"NHS CHORLEY AND SOUTH RIBBLE",23654,73297.12,0,0
2021-07-01,03H,"NHS NORTH EAST LINCOLNSHIRE",24595,54012.58,0,0
2021-07-01,05Q,"NHS SOUTH EAST STAFFORDSHIRE AND SEISDON PENINSULA",24911,73232.77,0,0
2021-07-01,01T,"NHS SOUTH SEFTON",25378,74006.53,0,0
2021-07-01,00V,"NHS BURY",25516,88367,0,0
2021-07-01,02E,"NHS WARRINGTON",26564,86940.94,0,0
2021-07-01,01E,"NHS GREATER PRESTON",26748,67906.49,0,0
2021-07-01,03Q,"NHS VALE OF YORK",27516,73947.84,0,0
2021-07-01,10R,"NHS PORTSMOUTH",27526,88935.11,0,0
2021-07-01,03K,"NHS NORTH LINCOLNSHIRE",27778,70183.44,0,0
2021-07-01,01J,"NHS KNOWSLEY",28239,80431.18,0,0
2021-07-01,99E,"NHS BASILDON AND BRENTWOOD",28986,98454.12,0,0
2021-07-01,02M,"NHS FYLDE AND WYRE",29272,74232.02,0,0
